id,aspect_class,sentiment_class,comment_text
223,,,gara gara game ini tiba tiba muncul iklan pun aku kaget
224,,,kaget bngt asli mana lgi speedup krna lg adu tombol onoff
225,,,video yang pertama ngambil latar tempat di kapal yang itu ruangan nya sempit banget makanya disetiap sudut ruang nya terasa mencekap wkwk really baru kali ini bg reggie main game horor ampe lompat aku aja ketawa lihatnya
226,,,bang miawang main game roblox dong di roblox ada game scary teacher ada lohh pless semoga di balas
227,,,kak regi aku hampir loncat
228,,,selalu menemani makan malam ku
229,,,kek live penelusuran aseli wkwkwk
230,,,ternyata angka lahir kita sama
231,,,bang tak boleh main roblox roblox tu jelek dan bego
232,,,fffffg f
233,,,hahaha botak meraju la karna tulang nya pat4h
234,,,lucu banget sampe pengen donlod heheh
235,,,abang semogah cepat berubah saya tidak sukak kalau abang begini
236,,,asalamualaikumbang kalau buat vidio bolehtak bagusbagus saya islamni bang basmalah
237,,,aku rasa botak terbiasa kot
238,,,woi alim takyah la buat video macam tu anak anak takboleh buat camtu
239,,,malaysia
240,,,bang esok dah sekolah petang dah prese
241,,,halo salam dari indonesia
242,,,bayi jangan dilempar
243,,,duaduanya nggak puasa
244,,,100000k
245,,,alim itu bukan botak nak raya kan gambar tu kopia sama dengan upin jadi pangil je upin
246,,,nuuuuuuuuupppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp
247,,,skqyxq
248,,,abang tak puasa
249,,,dia kecik lagi
250,,,bbbeeesssaaaaaaarrr kepalanya
251,,,astagaaa ngakakkk bgg raaaaayyaaaa si booootaaakkk nyyaaaa
252,,,zkejkehedhdnjejddjshshs666u6767nxbdbdjdgd66676766fsdsfsfdsdddeddduzhdhfncbfhdjdjshfbkhfkshkdhzmhfkhsjfhd
253,,,kelakar doh sakit perut aku
254,,,bang main game miside sebab tengok kat cermin hemsem sangat lepas tu dapat awek cantik sangat bang
255,,,botak tu
256,,,maap buat bayar listrik download war robots sekarang untuk dapetin welcome bonus pack dengan menggunakan link gw cek merch kami instagram merch shopee thank you
257,,,paling lucu yang ini
258,,,rip my ears nonton sambil pake earphone
259,,,cooo gw ga cape capek nonton ulang video milyhya
260,,,tahun yang lalu
261,,,bg dah bisa siul blm
262,,,awal pertemuan dengan mas oddy rest in peace mas oddy
263,,,komen di berasa ngelihat leluhur komen
264,,,biasanya gw nemu orang brewog sikapnya kalem gentle tp liat yg ini ko agak lain ya apa perasaan gw doang
265,,,gak peduli berapa tahun yg lalu tetap video manca seru di tonton
267,,,video pertama bareng mas oddy
268,,,mas oddy
269,,,mass oddy
271,,,ad gak nih
272,,,6thun
274,,,anyone
275,,,awal nih bos
276,,,saya dari
277,,,apsen tgl januari
278,,,dan sekarang baru kesampaian main pubg pc tp alhamdulillah vibes nya masih sama menurutku
281,,,rasanya baru nonton kemarin ternyata udah taun aja
282,,,sound penutup di vidio manca yg ini apa ya
283,,,siapa yg nonton ini di penghujung tahun gaes
284,,,channel developer arydk yuk join discord paling rame seindonesia buat cari temen festival motionime fest coming soon official merchku dan motionime
285,,,aman bang
286,,,ada nama abang tadiii
287,,,windah kayak batu
288,,,bang winda gg geming
289,,,emyu ada di mana mana njir
290,,,psht bang
291,,,semangat bikin kontennya
292,,,ojolnya mirip bang
293,,,kita doakan bang windah bersamages semoga amesia bneran
294,,,buat adek adek yang suka di bullying stop lu jangan nyerahin harga diri lu ke si pembuli kalo bisa lawan kalo gabisa tinggal kan tapi gw percaya lu paling kuat dan jago berantem di banding si pembuli stay strongg
295,,,gua takaut sekali
296,,,bang winda basudara itu buka ojol yang kasih hantaran makanan nasi gorengnya kumiliki
297,,,bacot
298,,,abang aku namanya wildan
299,,,windah malaysia
300,,,serem banget
302,,,lucu bgt sial
303,,,awesome
304,,,main ps jir
305,,,kuncinya di rak sepatu
306,,,ojol nya adalah bang winda
307,,,takuttpdhl blm main game nya
308,,,muka ojol nya mirip bg windah hh
309,,,bang itu pahri nya mirip afif yulistian bang
310,,,bang winda di sebelah ya ada orang
311,,,link discord motionime yang baru
312,,,setiap berhasil kodenya pasti ada nyanyinya lagu keramat sih lagu keramat windah basudara ketika berhasil
313,,,serem
314,,,bang windah token listrik saya juga abis isiin dong
315,,,yahh no good endingg
